"full_name","serving_state","Associate","Bach","Graduate","Law","Med_Or_PhD"
"Aaron Bean","FL","No Associate's","Jacksonville University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Abe Hamadeh","AZ","No Associate's","Arizona State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Abigail Spanberger","VA","No Associate's","University of Virginia","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Adam Schiff","CA","No Associate's","Stanford University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Adam Smith","WA","No Associate's","Fordham University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Addison McDowell","NC","No Associate's","University of North Carolina Charlotte","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Adrian Smith","NE","No Associate's","University of Nebraska","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Adriano Espaillat","NY","No Associate's","Queens College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Al Green","TX","No Associate's","Tuskegee University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Al Green","TX","No Associate's","NONE","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Alex Mooney","WV","No Associate's","Dartmouth College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Alex Padilla","CA","No Associate's","Massachusetts Institute of Technology","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Alexandria Ocasio-Cortez","NY","No Associate's","Boston University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Alma Adams","NC","No Associate's","North Carolina A&T University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Amata Coleman Radewagen","AS","No Associate's","University of Guam","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ami Bera","CA","No Associate's","University of California Irvine","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Amy Klobuchar","MN","No Associate's","Yale University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Andre Carson","IN","No Associate's","Concordia University Wisconsin","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Andrea Salinas","OR","No Associate's","University of California Berkeley","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Andrew Clyde","GA","No Associate's","Bethel University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Andrew Garbarino","NY","No Associate's","George Washington University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Andy Barr","KY","No Associate's","University of Virginia","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Andy Biggs","AZ","No Associate's","Brigham Young University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Andy Harris","MD","No Associate's","Johns Hopkins University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Andy Kim","NJ","No Associate's","University of Chicago","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Andy Ogles V","TN","No Associate's","Middle Tennessee State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Angela Alsobrooks","MD","No Associate's","Duke University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ann Wagner","MO","No Associate's","University of Missouri","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Anna Eshoo","CA","Associate's Degree","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Anna Paulina Luna","FL","No Associate's","University of West Florida","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Annie Kuster","NH","No Associate's","Dartmouth College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Anthony D'Esposito","NY","No Associate's","Hofstra University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"April McClain-Delaney","MD","No Associate's","Northwestern University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ashley Hinson","IA","No Associate's","University of Southern California","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"August Pfluger","TX","No Associate's","United States Air Force Academy","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Austin Scott","GA","No Associate's","University of Georgia","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ayanna Pressley","MA","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Barry Loudermilk","GA","No Associate's","Wayland Baptist University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Barry Moore","AL","Associate's Degree","Auburn University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Becca Balint","VT","No Associate's","Smith College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ben Cardin","MD","Associate's Degree","University of Pittsburgh","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ben Cline","VA","No Associate's","Bates College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ben Ray Luján","NM","No Associate's","New Mexico Highlands University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ben Sasse","NE","No Associate's","Harvard","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Bennie Thompson","MS","No Associate's","Tougaloo College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Bernie Moreno","OH","No Associate's","University of Michigan","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Beth Van Duyne","TX","No Associate's","Cornell University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Bill Cassidy","LA","No Associate's","Louisiana State University","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Bill Foster","IL","No Associate's","University of Wisconsin","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Bill Foster","IL","No Associate's","University of Wisconsin","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Bill Hagerty","TN","No Associate's","Vanderbilt University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Bill Huizenga","MI","No Associate's","Calvin College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Bill Johnson","OH","No Associate's","Troy University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Bill Keating","MA","No Associate's","Boston College","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Bill Pascrell Jr.","NJ","No Associate's","Fordham University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Bill Posey","FL","Associate's Degree","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Blaine Luetkemeyer","MO","No Associate's","Lincoln University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Blake Moore","UT","No Associate's","University of Utah","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Bob Casey Jr.","PA","No Associate's","College of the Holy Cross","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Bob Good","VA","No Associate's","Liberty University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Bob Latta","OH","No Associate's","Bowling Green State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Bob Menendez","NJ","No Associate's","Saint Peter's College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Bob Onder Jr.","MO","No Associate's","Washington University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Bobby Scott","VA","No Associate's","Harvard University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Bonnie Watson Coleman","NJ","No Associate's","Thomas Edison State College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brad Finstad","MN","No Associate's","University of Minnesota","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brad Knott","NC","No Associate's","Baylor University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Brad Schneider","IL","No Associate's","Northwestern University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brad Sherman","CA","No Associate's","University of California Los Angeles","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Brad Wenstrup","OH","No Associate's","University of Cincinnati","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brandon Gill","TX","No Associate's","Dartmouth College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brandon Williams","NY","No Associate's","Pepperdine University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brendan Boyle","PA","No Associate's","University of Notre Dame","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brett Guthrie","KY","No Associate's","United States Military Academy West Point","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brian Babin","TX","No Associate's","Lamar University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brian Fitzpatrick","PA","No Associate's","Penn State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Brian Higgins","NY","No Associate's","Buffalo State College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brian Jack","GA","No Associate's","Pepperdine University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brian Mast","FL","No Associate's","Harvard University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brian Schatz","HI","No Associate's","Pomona College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Brittany Pettersen","CO","No Associate's","Metro State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Bruce Westerman","AR","No Associate's","University of Arkansas","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Bryan Steil","WI","No Associate's","Georgetown University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Buddy Carter","GA","Associate's Degree","University of Georgia","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Burgess Owens","UT","No Associate's","University of Miami","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Byron Donalds","FL","No Associate's","Florida State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Carlos Gimenez","FL","No Associate's","Barry University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Carol Miller","WV","No Associate's","Columbia College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Catherine Cortez Masto","NV","No Associate's","University of Nevada Reno","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Cathy McMorris Rodgers","WA","No Associate's","Pensacola Christian College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Celeste Maloy","UT","No Associate's","Southern Utah University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Chellie Pingree","ME","No Associate's","College of the Atlantic","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Chip Roy","TX","No Associate's","University of Virginia","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Chris Coons","DE","No Associate's","Amherst","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Chris Deluzio","PA","No Associate's","United States Naval Academy","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Chris Murphy","CT","No Associate's","Williams College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Chris Pappas","NH","No Associate's","Harvard University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Chris Smith","NJ","No Associate's","Oxford University Worcester College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Chris Stewart","UT","No Associate's","Utah State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Chris Van Hollen","MD","No Associate's","Swarthmore College","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Chrissy Houlahan","PA","No Associate's","Stanford University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Chuck Edwards","NC","Associate's Degree","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Chuck Fleischmann","TN","No Associate's","University of Illinois","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Chuck Grassley","IA","No Associate's","University of Northern Iowa Cedar Falls","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Chuck Schumer","NY","No Associate's","Harvard University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Cindy Hyde-Smith","MS","Associate's Degree","University of Southern Mississippi","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Claudia Tenney","NY","No Associate's","Colgate University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Clay Higgins","LA","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Cleo Fields","LA","No Associate's","Southern University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Cliff Bentz","OR","No Associate's","Eastern Oregon State College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Colin Allred","TX","No Associate's","Baylor University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Cori Bush","MO","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Cory Booker","NJ","No Associate's","Stanford University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Cory Mills","FL","No Associate's","American Military University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Craig Goldman","TX","No Associate's","University of Texas Austin","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Cynthia Lummis","WY","No Associate's","University of Wyoming","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Dale Strong","AL","No Associate's","Athens State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Dan Bishop","NC","No Associate's","University of North Carolina at Chapel Hill","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Dan Crenshaw","TX","No Associate's","Tufts University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Dan Goldman","NY","No Associate's","Yale University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Dan Kildee","MI","No Associate's","Central Michigan University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Dan Meuser","PA","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Dan Newhouse","WA","No Associate's","Washington State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Dan Sullivan","AK","No Associate's","Harvard University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Dan Webster","FL","No Associate's","Georgia Institute of Technology","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Danny Davis","IL","No Associate's","Arkansas AM&N College","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Darin LaHood","IL","No Associate's","Loras College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Darrell Issa","CA","No Associate's","Siena Heights University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Darren Soto","FL","No Associate's","Rutgers College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"David Cicilline","RI","No Associate's","Brown University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"David Joyce","OH","No Associate's","University of Dayton","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"David Kustoff","TN","No Associate's","University of Memphis","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"David McCormick","PA","No Associate's","United States Military Academy","Graduate Degree","No Law Degree","Medical Degree or PhD"
"David Rouzer","NC","No Associate's","North Carolina State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"David Schweikert","AZ","Associate's Degree","Arizona State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"David Scott","GA","No Associate's","Florida A&M University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"David Taylor","OH","No Associate's","Miami University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"David Valadao","CA","Associate's Degree","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Dean Phillips","MN","No Associate's","Brown University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Deb Fischer","NE","No Associate's","University of Nebraska Lincoln","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Debbie Dingell","MI","No Associate's","Georgetown University Foreign Service","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Debbie Lesko","AZ","No Associate's","University of Wisconsin–Madison","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Debbie Stabenow","MI","No Associate's","Michigan State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Debbie Wasserman Schultz","FL","No Associate's","University of Florida","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Deborah Ross","NC","No Associate's","Brown University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Delia Ramirez","IL","No Associate's","Northeastern Illinois University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Derek Kilmer","WA","No Associate's","Princeton University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Derek Schmidt","KS","No Associate's","University of Kansas","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Derrick Van Orden","WI","No Associate's","Excelsior University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Diana DeGette","CO","No Associate's","Colorado College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Diana Harshbarger","TN","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Dianne Feinstein","CA","No Associate's","Stanford University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Dick Durbin","IL","No Associate's","School of Foreign Service at Georgetown University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Dina Titus","NV","No Associate's","College of William and Mary","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Don Bacon","NE","No Associate's","Illinois University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Don Beyer Jr.","VA","No Associate's","Williams College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Don Davis","NC","No Associate's","United States Air Force Academy","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Donald Norcross","NJ","Associate's Degree","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Donald Payne Jr.","NJ","No Associate's","Kean College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Doris Matsui","CA","No Associate's","University of California Berkeley","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Doug LaMalfa","CA","No Associate's","California Polytechnic University San Luis Obispo","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Doug Lamborn","CO","No Associate's","University of Kansas","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Drew Ferguson V","GA","No Associate's","University of Georgia","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Dustin ""Dusty"" Johnson","SD","No Associate's","University of South Dakota","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Dutch Ruppersberger","MD","No Associate's","University of Maryland College Park","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Dwight Evans","PA","Associate's Degree","La Salle College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Earl Blumenauer","OR","No Associate's","Lewis and Clark College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ed Case","HI","No Associate's","Williams College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Edward Markey","MA","No Associate's","Boston College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Eleanor Holmes Norton","DC","No Associate's","Antioch College","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Eli Crane","AZ","No Associate's","University of Arizona","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Elise Stefanik","NY","No Associate's","Harvard University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Elissa Slotkin","MI","No Associate's","Cornell University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Elizabeth Warren","MA","No Associate's","University of Houston","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Emanuel Cleaver","MO","No Associate's","Prairie View A&M University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Emilia Sykes","OH","No Associate's","Kent State University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Emily Randall","WA","No Associate's","Wellesley College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Eric Burlison","MO","No Associate's","Southwest Missouri State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Eric Schmitt","MO","No Associate's","Truman State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Eric Sorensen","IL","No Associate's","Northern Illinois University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Eric Swalwell","CA","No Associate's","University of Maryland College Park","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Erica Lee Carter","TX","No Associate's","University of North Carolina Chapel Hill","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Erin Houchin","IN","No Associate's","Indiana University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Eugene Vindman","VA","No Associate's","State University of New York Binghamton","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Frank Lucas","OK","No Associate's","Oklahoma State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Frank Mrvan","IN","No Associate's","Ball State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Frank Pallone Jr.","NJ","No Associate's","Middlebury College","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Frederica Wilson","FL","No Associate's","Fisk University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"French Hill","AR","No Associate's","Vanderbilt University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Gabe Amo","RI","No Associate's","Wheaton College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Gabe Evans","CO","No Associate's","Patrick Henry College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Gabriel ""Gabe"" Vasquez","NM","No Associate's","New Mexico State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Garret Graves","LA","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Gary Palmer","AL","No Associate's","University of Alabama","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Gary Peters","MI","No Associate's","Alma College","Graduate Degree","Law Degree","No Medical Degree or PhD"
"George Helmy","NJ","No Associate's","Rutgers University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"George Latimer","NY","No Associate's","Fordham University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"George Santos","NY","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"George Whitesides","CA","No Associate's","Princeton University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Gerry Connolly","VA","No Associate's","Maryknoll College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Gil Cisneros Jr.","CA","No Associate's","George Washington University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Glenn ""G.T."" Thompson","PA","No Associate's","Pennsylvania State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Glenn Grothman","WI","No Associate's","University of Wisconsin Madison","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Glenn Ivey","MD","No Associate's","Princeton University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
