"full_name","serving_state","Associate","Bach","Graduate","Law","Med_Or_PhD"
"Michael ""Mike"" Waltz","FL","No Associate's","Virginia Military Institute","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michael Baumgartner","WA","No Associate's","Washington State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michael Bennet","CO","No Associate's","Wesleyan University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Michael Burgess","TX","No Associate's","North Texas State University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Michael Cloud","TX","No Associate's","Oral Roberts University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michael McCaul","TX","No Associate's","Trinity University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Michael Rulli","OH","No Associate's","Emerson College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michael Rulli","OH","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Michelle Fischbach","MN","No Associate's","Saint Cloud State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Michelle Steel","CA","No Associate's","Pepperdine University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Bost","IL","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Braun","IN","No Associate's","Wabash College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Carey","OH","Associate's Degree","The Ohio State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Collins Jr.","GA","No Associate's","Georgia State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Crapo","ID","No Associate's","Brigham Young University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Ezell","MS","No Associate's","University of Southern Mississippi","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Flood","NE","No Associate's","University of Notre Dame","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Gallagher","WI","No Associate's","Princeton University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Haridopolos","FL","No Associate's","Stetson University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Mike Johnson","LA","No Associate's","Louisiana State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Kelly","PA","No Associate's","University of Notre Dame","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Kennedy","UT","No Associate's","Brigham Young University","No Graduate Degree","Law Degree","Medical Degree or PhD"
"Mike Lawler","NY","No Associate's","Manhattan College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Lee","UT","No Associate's","Brigham Young University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Levin","CA","No Associate's","Stanford University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Quigley","IL","No Associate's","Roosevelt University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Rogers","AL","No Associate's","Jacksonville State University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mike Rounds","SD","No Associate's","South Dakota State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Simpson","ID","No Associate's","Utah State University","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Mike Thompson","CA","No Associate's","California State University Chico","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Turner","OH","No Associate's","Political Science Ohio Northern University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mikie Sherrill","NJ","No Associate's","United States Naval Academy","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mitch McConnell","KY","No Associate's","University of Louisville","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mitt Romney","UT","No Associate's","Brigham Young University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Monica De La Cruz","TX","No Associate's","University of Texas, San Antonio","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Morgan Griffith","VA","No Associate's","Emory & Henry College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Morgan Luttrell","TX","No Associate's","Sam Houston State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Morgan McGarvey","KY","No Associate's","University of Missouri","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Nancy Mace","SC","No Associate's","The Citadel","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nancy Pelosi","CA","No Associate's","Trinity College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nanette Barragán","CA","No Associate's","University of California, Los Angeles","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Nathaniel Moran","TX","No Associate's","Texas Tech University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Neal Dunn","FL","No Associate's","Washington and Lee University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nellie Pou","NJ","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nick LaLota","NY","No Associate's","U.S. Naval Academy at Annapolis","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Nick Langworthy","NY","No Associate's","Niagara University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nicole Malliotakis","NY","No Associate's","Seton Hall University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nikema Williams","GA","No Associate's","Talladega College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nikki Budzinski","IL","No Associate's","University of Illinois, Urbana-Champaign","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Norma Torres","CA","No Associate's","National Labor College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nydia Velázquez","NY","No Associate's","University of Puerto Rico Rio Piedras","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pablo Jose Hernandez Rivera","PR","No Associate's","Harvard University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Pat Fallon","TX","No Associate's","University of Notre Dame","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pat Harrigan","NC","No Associate's","United States Military Academy","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pat Ryan","NY","No Associate's","U.S. Military Academy at West Point","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Patrick McHenry","NC","No Associate's","Belmont Abbey College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Patty Murray","WA","No Associate's","Washington State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Paul Gosar","AZ","No Associate's","Creighton University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Paul Tonko","NY","No Associate's","Clarkson University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pete Aguilar","CA","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pete Ricketts","NE","No Associate's","University of Chicago","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pete Sessions","TX","No Associate's","Southwestern University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Pete Stauber","MN","No Associate's","Lake Superior State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Peter Welch","VT","No Associate's","College of the Holy Cross","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Pramila Jayapal","WA","No Associate's","Georgetown University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Raja Krishnamoorthi","IL","No Associate's","Princeton University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ralph Norman","SC","No Associate's","Presbyterian College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Rand Paul","KY","No Associate's","None","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Randy Feenstra","IA","No Associate's","Dordt College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Randy Weber Sr.","TX","No Associate's","University of Houston Clear Lake","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Raphael Warnock","GA","No Associate's","Morehouse College","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Rashida Tlaib","MI","No Associate's","Wayne State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Raul Grijalva","AZ","No Associate's","University of Arizona","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Raul Ruiz","CA","No Associate's","University of California Los Angeles","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Rich McCormick","GA","No Associate's","Oregon State University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Richard Blumenthal","CT","No Associate's","Harvard University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Richard Hudson Jr.","NC","No Associate's","University of North Carolina Charlotte","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Richard Neal","MA","Associate's Degree","American International College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Rick Allen","GA","No Associate's","Auburn University School of Architecture","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Rick Crawford","AR","No Associate's","Arkansas State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Rick Larsen","WA","No Associate's","Pacific Lutheran University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Rick Scott","FL","No Associate's","University of Missouri Kansas City","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Riley Moore","WV","No Associate's","George Mason University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ritchie Torres","NY","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ro Khanna","CA","No Associate's","University of Chicago","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Rob Bresnahan","PA","No Associate's","University of Scranton","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Rob Menendez Jr.","NJ","No Associate's","University of North Carolina at Chapel Hill","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Rob Wittman","VA","No Associate's","Virginia Polytechnic Institute and State University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Robert Aderholt","AL","No Associate's","Birmingham Southern College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Robert Garcia","CA","No Associate's","California State University Long Beach","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Robin Kelly","IL","No Associate's","Bradley University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Roger Marshall","KS","Associate's Degree","Kansas State University","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Roger Wicker","MS","No Associate's","University of Mississippi","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Roger Williams","TX","No Associate's","Texas Christian University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ron Estes","KS","No Associate's","Tennessee Technological University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ron Johnson","WI","No Associate's","University of Minnesota","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ron Wyden","OR","No Associate's","Political Science Stanford University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ronny Jackson","TX","No Associate's","Texas A&M University","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Rosa DeLauro","CT","No Associate's","Marymount College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ruben Gallego","AZ","No Associate's","Harvard University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Rudy Yakym","IN","Associate's Degree","Indiana University South Bend","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Russ Fulcher","ID","No Associate's","Boise State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Russell Fry","SC","No Associate's","University of South Carolina","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ryan Mackenzie","PA","No Associate's","New York University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ryan Zinke","MT","No Associate's","University of Oregon","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Salud Carbajal","CA","No Associate's","University of California, Santa Barbara","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Sam Graves","MO","No Associate's","University of Missouri","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Sam Liccardo","CA","No Associate's","Georgetown University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Sanford Bishop Jr.","GA","No Associate's","Morehouse College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Sara Jacobs","CA","No Associate's","Columbia University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Sarah Elfreth","MD","No Associate's","Towson University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Sarah McBride","DE","No Associate's","American University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Scott Eugene DesJarlais","TN","No Associate's","University of South Dakota","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Scott Fitzgerald","WI","No Associate's","University of Wisconsin Oshkosh","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Scott Franklin","FL","No Associate's","United States Naval Academy","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Scott Perry","PA","No Associate's","Pennsylvania State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Scott Peters","CA","No Associate's","Duke University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Sean Casten","IL","No Associate's","Middlebury College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Seth Magaziner","RI","No Associate's","Brown University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Seth Moulton","MA","No Associate's","Harvard University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Sharice Davids","KS","Associate's Degree","University of Missouri Kansas City","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Sheila Cherfilus-McCormick","FL","No Associate's","Howard University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Sheila Jackson Lee","TX","No Associate's","Yale University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Sheldon Whitehouse","RI","No Associate's","Yale University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Shelley Moore Capito","WV","No Associate's","Duke University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Sheri Biggs","SC","No Associate's","Carolina College of Biblical Studies","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Sherrod Brown","OH","No Associate's","Russian Studies Yale University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Shomari Figures","AL","No Associate's","University of Alabama","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Shontel Brown","OH","Associate's Degree","Wilberforce University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Shri Thanedar","MI","No Associate's","NONE","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Stacey Plaskett","VI","No Associate's","Georgetown University School of Foreign Service","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Steny Hoyer","MD","No Associate's","University of Maryland College Park","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Stephanie Bice","OK","No Associate's","Oklahoma State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Stephen Lynch","MA","No Associate's","Wentworth Institute of Technology","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Steve Cohen","TN","No Associate's","Vanderbilt University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Steve Daines","MT","No Associate's","Montana State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Steve Scalise","LA","No Associate's","Louisiana State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Steve Womack","AR","No Associate's","Arkansas Technical University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Steven Horsford","NV","No Associate's","University of Nevada Reno","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Suhas Subramanyam","VA","No Associate's","Tulane University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Summer Lee","PA","No Associate's","Pennsylvania State University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Susan Collins","ME","No Associate's","St. Lawrence University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Susan Wild","PA","No Associate's","American University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Susie Lee","NV","No Associate's","Carnegie Mellon University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Suzan DelBene","WA","No Associate's","Reed College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Suzanne Bonamici","OR","Associate's Degree","University of Oregon","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Sydney Kamlager","CA","No Associate's","University of Southern California","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Sylvester Turner","TX","No Associate's","University of Houston","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Sylvia Garcia","TX","No Associate's","Texas Woman's University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Tammy Baldwin","WI","No Associate's","Smith College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Tammy Duckworth","IL","No Associate's","University of Hawaii","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Ted Budd","NC","No Associate's","Appalachian State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Ted Cruz","TX","No Associate's","Princeton University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ted Lieu","CA","No Associate's","Stanford University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Teresa Leger Fernandez","NM","No Associate's","Yale University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Terri Sewell","AL","No Associate's","Princeton University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Thom Tillis","NC","No Associate's","University of Maryland","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Thomas Massie","KY","No Associate's","Massachusetts Institute of Technology","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tim Burchett","TN","No Associate's","University of Tennessee","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tim Kaine","VA","No Associate's","University of Missouri","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Tim Kennedy","NY","No Associate's","D'Youville College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tim Moore","NC","No Associate's","University of North Carolina Chapel Hill","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tim Scott","SC","No Associate's","Charleston Southern University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tim Sheehy","MT","No Associate's","United States Naval Academy","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tim Walberg","MI","No Associate's","Fort Wayne Bible College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tina Smith","MN","No Associate's","Stanford University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Todd Young","IN","No Associate's","United States Naval Academy","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Tom Barrett","MI","No Associate's","Western Michigan University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tom Carper","DE","No Associate's","The Ohio State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tom Cole","OK","No Associate's","Grinnell College","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Tom Cotton","AR","No Associate's","Harvard College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Tom Emmer","MN","No Associate's","University of Alaska","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Tom Kean Jr.","NJ","No Associate's","Dartmouth College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tom McClintock","CA","No Associate's","University of California Los Angeles","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tom Suozzi","NY","No Associate's","Boston College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Tom Tiffany","WI","No Associate's","University Wisconsin-River Falls","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tommy Tuberville","AL","No Associate's","Southern State College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tony Cárdenas","CA","No Associate's","University of California Santa Barbara","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tony Gonzales","TX","No Associate's","Excelsior College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tony Wied","WI","No Associate's","St. Norbert College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Tracey Robert Mann","KS","No Associate's","Kansas State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Trent Kelly","MS","No Associate's","The University of Mississippi","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Troy Balderson","OH","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Troy Carter","LA","No Associate's","Xavier University of Louisiana","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Troy Downing","MT","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Troy Nehls","TX","No Associate's","Liberty University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Val Hoyle","OR","No Associate's","Emmanuel College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Valerie Foushee","NC","No Associate's","University of North Carolina at Chapel Hill","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Vern Buchanan","FL","No Associate's","Cleary University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Veronica Escobar","TX","No Associate's","University of Texas at El Paso","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Vicente Gonzalez","TX","No Associate's","Embry–Riddle Aeronautical University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Victoria Spartz","IN","No Associate's","National University of Economics Ukraine","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Vince Fong","CA","No Associate's","University of California Los Angeles","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Virginia Foxx","NC","No Associate's","University of North Carolina Chapel Hill","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Warren Davidson","OH","No Associate's","West Point","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Wesley Bell","MO","No Associate's","Lindenwood University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Wesley Hunt","TX","No Associate's","United States Military Academy","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Wiley Nickel","NC","No Associate's","Tulane University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"William Timmons V","SC","No Associate's","George Washington University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Yassamin Ansari","AZ","No Associate's","Stanford University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Young Kim","CA","No Associate's","University of Southern California","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Yvette Clarke","NY","No Associate's","Oberlin College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Zach Nunn","IA","No Associate's","Drake University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Zoe Lofgren","CA","No Associate's","Stanford University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
